# from	to	tags
喫	吃	rime-conversion,modern-zh-tw,variant-normalization
爲	為	rime-conversion,modern-zh-tw,variant-normalization
羣	群	rime-conversion,modern-zh-tw,variant-normalization
裏面	裡面	rime-conversion,modern-zh-tw,phrase-preference
這裏	這裡	rime-conversion,modern-zh-tw,phrase-preference
那裏	那裡	rime-conversion,modern-zh-tw,phrase-preference
哪裏	哪裡	rime-conversion,modern-zh-tw,phrase-preference
家裏	家裡	rime-conversion,modern-zh-tw,phrase-preference
心裏	心裡	rime-conversion,modern-zh-tw,phrase-preference
眼裏	眼裡	rime-conversion,modern-zh-tw,phrase-preference
手裏	手裡	rime-conversion,modern-zh-tw,phrase-preference
嘴裏	嘴裡	rime-conversion,modern-zh-tw,phrase-preference
腦子裏	腦子裡	rime-conversion,modern-zh-tw,phrase-preference
群裏	群裡	rime-conversion,modern-zh-tw,phrase-preference
電影裏	電影裡	rime-conversion,modern-zh-tw,phrase-preference
遊戲裏	遊戲裡	rime-conversion,modern-zh-tw,phrase-preference
世界裏	世界裡	rime-conversion,modern-zh-tw,phrase-preference
店裏	店裡	rime-conversion,modern-zh-tw,phrase-preference
時間裏	時間裡	rime-conversion,modern-zh-tw,phrase-preference
村裏	村裡	rime-conversion,modern-zh-tw,phrase-preference
大學裏	大學裡	rime-conversion,modern-zh-tw,phrase-preference
書裏	書裡	rime-conversion,modern-zh-tw,phrase-preference
學校裏	學校裡	rime-conversion,modern-zh-tw,phrase-preference
夜裏	夜裡	rime-conversion,modern-zh-tw,phrase-preference
骨子裏	骨子裡	rime-conversion,modern-zh-tw,phrase-preference
房間裏	房間裡	rime-conversion,modern-zh-tw,phrase-preference
懷裏	懷裡	rime-conversion,modern-zh-tw,phrase-preference
手機裏	手機裡	rime-conversion,modern-zh-tw,phrase-preference
屋裏	屋裡	rime-conversion,modern-zh-tw,phrase-preference
公司裏	公司裡	rime-conversion,modern-zh-tw,phrase-preference
肚子裏	肚子裡	rime-conversion,modern-zh-tw,phrase-preference
城裏	城裡	rime-conversion,modern-zh-tw,phrase-preference
海裏	海裡	rime-conversion,modern-zh-tw,phrase-preference
城市裏	城市裡	rime-conversion,modern-zh-tw,phrase-preference
日子裏	日子裡	rime-conversion,modern-zh-tw,phrase-preference
夢裏	夢裡	rime-conversion,modern-zh-tw,phrase-preference
水裏	水裡	rime-conversion,modern-zh-tw,phrase-preference
字裏行間	字裡行間	rime-conversion,modern-zh-tw,phrase-preference
話裏有話	話裡有話	rime-conversion,modern-zh-tw,phrase-preference
笑裏藏刀	笑裡藏刀	rime-conversion,modern-zh-tw,phrase-preference
綿裏藏針	綿裡藏針	rime-conversion,modern-zh-tw,phrase-preference
霧裏看花	霧裡看花	rime-conversion,modern-zh-tw,phrase-preference
雪裏送炭	雪裡送炭	rime-conversion,modern-zh-tw,phrase-preference
死裏逃生	死裡逃生	rime-conversion,modern-zh-tw,phrase-preference
忙裏偷閒	忙裡偷閒	rime-conversion,modern-zh-tw,phrase-preference
花裏胡哨	花裡胡哨	rime-conversion,modern-zh-tw,phrase-preference
表裏如一	表裡如一	rime-conversion,modern-zh-tw,phrase-preference
裏應外合	裡應外合	rime-conversion,modern-zh-tw,phrase-preference
鞭辟入裏	鞭辟入裡	rime-conversion,modern-zh-tw,phrase-preference
苑裏	苑裡	rime-conversion,modern-zh-tw,toponym-normalization
苑裏鎮	苑裡鎮	rime-conversion,modern-zh-tw,toponym-normalization
百裏挑一	百裡挑一	rime-conversion,modern-zh-tw,phrase-preference
埔裏社撫墾局	埔里社撫墾局	rime-conversion,modern-zh-tw,toponym-normalization
湖裏區	湖里區	rime-conversion,modern-zh-tw,toponym-normalization
道裏區	道里區	rime-conversion,modern-zh-tw,toponym-normalization
胡裏山炮臺	胡里山炮臺	rime-conversion,modern-zh-tw,toponym-normalization
裏肌	里肌	rime-conversion,modern-zh-tw,food-term-normalization
裏肌肉	里肌肉	rime-conversion,modern-zh-tw,food-term-normalization
裏脊	里肌	rime-conversion,modern-zh-tw,food-term-normalization
裏脊肉	里肌肉	rime-conversion,modern-zh-tw,food-term-normalization
牛裏脊	牛里肌	rime-conversion,modern-zh-tw,food-term-normalization
糖醋裏脊	糖醋里肌	rime-conversion,modern-zh-tw,food-term-normalization
軟炸裏脊	軟炸里肌	rime-conversion,modern-zh-tw,food-term-normalization
豬裏脊肉	豬里肌肉	rime-conversion,modern-zh-tw,food-term-normalization
